id	year	start_date	curr_date	subtract_year
554	2008	2008-01-01	2024-05-11	16
555	2009	2009-01-01	2024-05-11	15
556	2010	2010-01-01	2024-05-11	14
557	2011	2011-01-01	2024-05-11	13
558	2012	2012-01-01	2024-05-11	12
559	2013	2013-01-01	2024-05-11	11
560	2014	2014-01-01	2024-05-11	10
561	2015	2015-01-01	2024-05-11	9
562	2016	2016-01-01	2024-05-11	8
563	2017	2017-01-01	2024-05-11	7
564	2018	2018-01-01	2024-05-11	6
565	2019	2019-01-01	2024-05-11	5
566	2020	2020-01-01	2024-05-11	4
567	1980	1980-01-01	2024-05-11	44
568	1981	1981-01-01	2024-05-11	43
569	1982	1982-01-01	2024-05-11	42
570	1983	1983-01-01	2024-05-11	41
571	1984	1984-01-01	2024-05-11	40
572	1985	1985-01-01	2024-05-11	39
573	1986	1986-01-01	2024-05-11	38
574	1987	1987-01-01	2024-05-11	37
575	1988	1988-01-01	2024-05-11	36
576	1989	1989-01-01	2024-05-11	35
577	1990	1990-01-01	2024-05-11	34
578	1991	1991-01-01	2024-05-11	33
579	1992	1992-01-01	2024-05-11	32
580	1993	1993-01-01	2024-05-11	31
581	1994	1994-01-01	2024-05-11	30
582	1995	1995-01-01	2024-05-11	29
583	1996	1996-01-01	2024-05-11	28
584	1997	1997-01-01	2024-05-11	27
585	1998	1998-01-01	2024-05-11	26
586	1999	1999-01-01	2024-05-11	25
587	2000	2000-01-01	2024-05-11	24
588	2001	2001-01-01	2024-05-11	23
589	2002	2002-01-01	2024-05-11	22
590	2003	2003-01-01	2024-05-11	21
591	2004	2004-01-01	2024-05-11	20
592	2005	2005-01-01	2024-05-11	19
593	2006	2006-01-01	2024-05-11	18
594	2007	2007-01-01	2024-05-11	17
595	2008	2008-01-01	2024-05-11	16
596	2009	2009-01-01	2024-05-11	15
597	2010	2010-01-01	2024-05-11	14
598	2011	2011-01-01	2024-05-11	13
599	2012	2012-01-01	2024-05-11	12
600	2013	2013-01-01	2024-05-11	11
601	2014	2014-01-01	2024-05-11	10
602	2015	2015-01-01	2024-05-11	9
603	2016	2016-01-01	2024-05-11	8
604	2017	2017-01-01	2024-05-11	7
605	2018	2018-01-01	2024-05-11	6
606	2019	2019-01-01	2024-05-11	5
607	2020	2020-01-01	2024-05-11	4
608	1980	1980-01-01	2024-05-11	44
609	1981	1981-01-01	2024-05-11	43
610	1982	1982-01-01	2024-05-11	42
611	1983	1983-01-01	2024-05-11	41
612	1984	1984-01-01	2024-05-11	40
613	1985	1985-01-01	2024-05-11	39
614	1986	1986-01-01	2024-05-11	38
615	1987	1987-01-01	2024-05-11	37
616	1988	1988-01-01	2024-05-11	36
617	1989	1989-01-01	2024-05-11	35
618	1990	1990-01-01	2024-05-11	34
619	1991	1991-01-01	2024-05-11	33
620	1992	1992-01-01	2024-05-11	32
621	1993	1993-01-01	2024-05-11	31
622	1994	1994-01-01	2024-05-11	30
623	1995	1995-01-01	2024-05-11	29
624	1996	1996-01-01	2024-05-11	28
625	1997	1997-01-01	2024-05-11	27
626	1998	1998-01-01	2024-05-11	26
627	1999	1999-01-01	2024-05-11	25
628	2000	2000-01-01	2024-05-11	24
629	2001	2001-01-01	2024-05-11	23
630	2002	2002-01-01	2024-05-11	22
631	2003	2003-01-01	2024-05-11	21
632	2004	2004-01-01	2024-05-11	20
633	2005	2005-01-01	2024-05-11	19
634	2006	2006-01-01	2024-05-11	18
635	2007	2007-01-01	2024-05-11	17
636	2008	2008-01-01	2024-05-11	16
637	2010	2010-01-01	2024-05-11	14
638	2010	2010-01-01	2024-05-11	14
639	2012	2012-01-01	2024-05-11	12
640	1980	1980-01-01	2024-05-11	44
641	1981	1981-01-01	2024-05-11	43
642	1982	1982-01-01	2024-05-11	42
643	1983	1983-01-01	2024-05-11	41
644	1984	1984-01-01	2024-05-11	40
645	1985	1985-01-01	2024-05-11	39
646	1986	1986-01-01	2024-05-11	38
647	1987	1987-01-01	2024-05-11	37
648	1988	1988-01-01	2024-05-11	36
649	1989	1989-01-01	2024-05-11	35
650	1990	1990-01-01	2024-05-11	34
651	1991	1991-01-01	2024-05-11	33
652	1992	1992-01-01	2024-05-11	32
653	1993	1993-01-01	2024-05-11	31
654	1994	1994-01-01	2024-05-11	30
655	1995	1995-01-01	2024-05-11	29
656	1996	1996-01-01	2024-05-11	28
657	1997	1997-01-01	2024-05-11	27
658	1998	1998-01-01	2024-05-11	26
659	1999	1999-01-01	2024-05-11	25
660	2000	2000-01-01	2024-05-11	24
661	2001	2001-01-01	2024-05-11	23
662	2002	2002-01-01	2024-05-11	22
663	2003	2003-01-01	2024-05-11	21
